Index,Term,Definition
3186,estråña,Alienate; annoy; disturb; bother; trouble; irritate; harrass; irk; vex.
3187,estråñu,Strange; queer; unusual.
3188,estrecho,Narrow.
3189,estrena,Use (for the first time); try (for the first time).
3190,estreyas,Star; sparkle; spark; asterisk.
3191,estreyas,Poached eggs.
3192,estreyas tåsi,Starfish; sea star.
3193,estribu,Stirrup.
3194,estrikto,Strict; unyielding; stern.
3195,estroktura,Structure.
3196,estropeha,Manhandle; treat rudely; quick shove; push roughly.
3197,estudia,Study; acquire knowledge; apply the mind; educate oneself.
3198,estudiånte,Student; learner; scholar.
3199,estudiåyi,Make research; analyze.
3200,estudio,Lesson--that which is learned or taught; study; academic attainments.
3201,estudiosu,Studious.
3202,estufao,Adobo.
3203,estuleks,"Type of game--dare base. Number of players may vary, but there are two teams, and the object of the game is to touch the opponent's base without being tagged by any palyer from the opposition. From ""steal eggs."""
3204,esu,Expression used when there is a doubt about a statement made.
3205,esu ,"That, as in esu es ""That is that."""
3206,etdichu,Exactly; unquestionably; definitely.
3207,etdichu kichu,That's right; that's just it; of course; quite so; as you say.
3208,etgue,Wipe anus.
3209,etgue,Toilet paper; anything used to wipe anus.
3210,etigu,Low; short--in height; below the normal height; too short; low elevation.
3211,etiningo',Imprudent; unwise.
3212,etiningo',Favorite; bosom child.
3213,etmåna,Nun; sister; religious woman; anchorite.
3214,etmånu,Lay brother; friar; monk.
3215,etmitånu,Hermit.
3216,etnon,Assemblage; congregation; gathering; collection; combination; bringing together.
3217,etogu,Small (in growth).
3218,etokcha',Fishing; spearfishing; skindiving.
3219,etses,Grate.
3220,etses,Grater; tool used for grating.
3221,etsisio,Drill (soldiers); exercise.
3222,ette,Touch (slightly); perceive by feeling; barely touch.
3223,ette,Tear off--with teeth; rip off skin of fruit or meat from bone with teeth; peel--with teeth.
3224,ette,Bunt--as in baseball; nudge; touch lightly.
3225,etupak,To fish by line; bottom fishing.
3226,Europa,Europe.
3227,Europeo,European.
3228,eyaf,Small louse; smaller stage of growth before becoming hutu.
3229,eyak,"Imitate; copy mimic; follow as a pattern, model, or example."
3230,eyensia,Agency.
3231,eyente,Agent.
3232,eyok,Pain--from a thrust wound.
3233,eyugue',There is. Alternate form of ayugue'.
3234,fa' i ninok,Cause to wait. (Idiom.)
3235,fa'-,"A verbalizing prefix meaning ""make something appear to be, pretend, feign"" (e.g. fa'guaha - to pretend to have)."
3236,fa'a'ñao,Fearless.
3237,fa'aila,Report on; prefer charge of misconduct against someone to a superior; tattle tell on; blab.
3238,fa'aila,Bring to suit; complain before the court; accuse.
3239,fa'ande',Wheedle; cajole; flater; gain or get something by flattery or coaxing.
3240,fa'baba,Fool; trick; deceive; dupe; betray.
3241,fa'babayon,Gull; gullible; one who can easily be fooled; be tricked; be out-witted.
3242,fa'buresi,verb. to contribute to something; to assist in something.
3243,fa'chåda',Flatter; laud someone in order to obtain a favor; make a fool of someone.
3244,fa'chålan,Make a way; make room.
3245,fa'chålåni,Make a path.
3246,fa'cho'chu'i,verb. to work for something; to give one's all to something; help; aid; assist; succor; to be of service; give aid.
3247,fa'dagi,Belie; create false impression; to use as excuse.
3248,fa'denne',verb. to pickle something; to mix something in an acid (lemon or vinegar) and hot pepper. 
3249,fa'et,Salty.
3250,fa'ga'ga'on,Gull; gullible; one who can easily be fooled; be tricked; be out-witted.
3251,fa'gas,Washer; cleanser; rinser; liquid used for washing.
3252,få'gasi,Wash; cleanse; wash away; make clean.
3253,fa'guåha,Pretend to have; put on airs.
3254,fa'håfa,Try to do or make something out of something.
3255,fa'hanom,Melt; cause to liquefy.
3256,fa'hiyong,Despise; slander; castigate; exclude; debar.
3257,få'i,Type of plant--oryza sativa. Rice--when growing.
3258,fa'la'mon,Hoard; keep to oneself.
3259,fa'låsuyi,Lasso for--make a; trap for--make a.
3260,fa'maigu'i,Pretend to sleep; play possum.
3261,fa'måleffa,Pretend to forget.
3262,fa'måleffa,Forgetful; oblivious; liable to be forgotten.
3263,fa'maolek,Fix; repair; make good.
3264,fa'megge',To tread; to step on; to go on.
3265,fa'monton,Accumulate; store up.
3266,fa'na'an,Nickname (someone); name (someone); call someone by a name other than his own.
3267,fa'na'an,Maybe; perhaps.
3268,fa'nå'gue,Teach; educate; instruct; impart knowledge.
3269,fa'nå'guiyon,Docile; teachable; readily trainable; easily taught.
3270,fa'nu'i,Show; present to sight; manifest; demonstrate.
3271,få'om,Clobber; defeat; knock down; beat; pound mercilessly.
3272,få'om,Club; cudgel; bat; war club.
3273,fa'otru,Disguise.
3274,få'pos,Go; leave; depart. (Imperative)
3275,fa'sahnge,Exclude; isolate; set aside; segregate.
3276,fa'tinas,Cook; construct; create; invent; make; form; shape; build; fashion. 
3277,fa'tinason,Practicable; possible.
3278,fa'trinchera,To intrench; to dig in.
3279,fa'yi'os,Deify.
3280,fa'ñague,Haunt; frighten; scare; threaten; menace.
3281,fa'ñaki,To theive; to rob.
3282,fåbila di chispas,Talk too much; excessive talker.
3283,fåboråpble,Favorable; auspicious; well-disposed; propitious; advantageous.
3284,fåboresi,verb. to contribute; give or supply in common with others; aid; assist.
3285,fåboritu,Minion; favorite.
3286,fåbot,noun. favor; kindness; courtesy.
3287,fåbrika,noun. factory; manufacture; fabrication; 
3288,fåbrikan ais,Ice plant; manufacture of ice.
3289,fåbulas,noun. tale; fable; story; lie.
3290,fachåda,Front; facade.
3291,fache',Mud; dirt; loam; mire; slime; bog; excess of liquick in a mixture; puddle.
3292,facho'cho',Work; toil; be industrious; be busily employed (imperative form).
3293,fadang,Type of plant--family cycadaceae. Cycad; federico palm.
3294,fafa'baba,Swindler; rogue; deceiver; cheater; crook; trickery; cunning; faker; deceitfulnes.
3295,fafa'boresi,Obliging; pleasing; agreeable.
3296,fafa'et,Type of fish--lutjanus gibbus (family lutjanidae). Snappers.
3297,fafa'nå'gue,Teacher; educator; one who teaches; one who can teach.
3298,fafa'nu'i,Retriever.
3299,fafa'pos,Transitory; fleeting.
3300,fafa'tinas,Maker; cooker; creator; inventor.
3301,fafa'ñagui,One who scares; poltergeist; spook.
3302,fafacho'cho',Worker; one who can work.
3303,fafahan,Buyer.
3304,fafakmåta,Light sleeper; one who can wake up easily.
3305,fafalågu,Runner; one who or that which runs.
3306,fafalot,Lantern bearer.
3307,fåfålu,The seed pod at the end of a banana stalk.
3308,fafamfok,Weaver--of baskets or mats; one who crochets.
3309,fafanaitai,Reader; literate person; one who or that which can read; one who can recite a prayer.
3310,fafatkilu,Silent (person); quiet; peaceful; not talkative.
3311,fafatna,The core of a boil.
3312,fafatpai,Pleasing; agreeable; obliging.
3313,fåfåtta,Pompous. Magnificent; splendid.
3314,fafatta,Absent; not present.
3315,fafatta,Absent minded; not all there.
3316,fafayi,Strongest part. Usually used with possessive suffix.
3317,fafañågu,Bearing young--capable of.
3318,faga,"Slightly sloping roof of house, which is poor for water runoff. Oppositee of koriente."
3319,fagahot,An understanding person; one who comprehends things well.
3320,faggas,Punch hit; smash; to hit by throwing something; destroy.
3321,fago',Type of plant--ochrosia oppositifolia. Type of tree.
3322,fagot,Leader (wire for fishing line).
3323,fagot,Leaf of åkgak (pandanus) tree used for weaving mats and thatching roofs.
3324,fagu,Leader--for fishing line.
3325,Faguålo',October.
3326,fåha,Waistband; cummerbund; cloth wrapped around the waist.
3327,fåhå,"Spongy, sweet, edible substance that grows in coconuts which have fallen from the tree."
3328,fåhån,Buy; purchase; bribe.
3329,fåhang,Type of bird--anous stolidus pileatus. Common noddy.
3330,fåhånon,For sale.
3331,fahatek,Prohibited.
3332,fåhna,"Well liked, easily sold article; merchandise in great demand."
3333,fai'a,Type of plant--tristiropsis obtusangula. Type of tree.
3334,faichanak,Despise; disdain.
3335,faiche'chu'i,To earn; acquire; procure by effort.
3336,faidok,Pull out; draw out; root out; dig out.
3337,faila',Notice; report; tell on.
3338,faila'muni,Estimate; calculate.
3339,faila'yi,Betray; be untrue.
3340,failayi,Betray; be untrue.
3341,failek,Cause dizziness; dizziness--caused from something eaten.
3342,failek,Word describing sour sensation on teeth after biting into a sour citrus fruit. Sour stomach.
3343,faine,Sling; bandage used for sprained or broken arm.
3344,faininok,Put aside to ripen; cause to wait.
3345,faiseknani,To accuse (falsely); to blaime someone falsely; charge someone with; suspect.
3346,faisekne,To accuse (falsely); to blaime someone falsely; charge someone with; suspect.
3347,faisen,Ask; question; interrogate.
3348,faisensini,Cut or remove meat from the bone.
3349,faisini,Ask; request for permission; beg for.
3350,fakai,Share; a portion or part; part alotted to one.
3351,fakai,To share; participate; divide; to make into parts.
3352,fakånåte,To dig a channel or gutter.
3353,fakcha',Be lucky; be successful.
3354,fakcha'i,Arrive (at propitious moment); discover; find; encounter.
3355,fakka',Inner stem of red taro plant.
3356,fåkkai,Beat up; injure; harm; hurt.
3357,fakkot,Delous; to rid someone or animal of lice.
3358,fakla',Eater of raw food.
3359,fakla',One who tells tales; tattle-tale.
3360,fåkmåta,Wake up; get up--from sleep (imperative form).
3361,fakmåta,"verb. to wake up, to awaken. noun. a light sleeper."
3362,fåkpe,Type of bird--fregata minor minor. Pacific man-o-war; frigate bird.
3363,fåkpo',Finish; end; be over; stop; complete.
3364,fåkte,Catch rain water; tap (tree sap).
3365,fåkte,Type of bird--fregata minor minor. Pacific man-o-war; frigate bird.
3366,fåkteria,noun. factory; manufacture; fabrication.
3367,fåkto,Fact; actual; reality; actuality; exactly.
3368,fåla',To eat raw food.
3369,fålåggue,Go and get; lay hold of; pick up.
3370,fålågu,Run (imperative); move swiftly; hasten; go rapidly; elop; escape; flee.
3371,fålåguaihon,Slip away; steal away; escape.
3372,fålaguiyon,Excuse; evasion; expidient; pretense.
3373,falak,Go to; going to.
3374,fålingu,verb. to be lost; to disappear.
3375,fållot,Lamp; kerosene lantern.
3376,fålu,Game of marbles--tracks. A marble game in which two players take turns shooting at each others' marble.
3377,fålu,Pestle; rammer; beetle.
3378,fålulon,verb. to roll up; to wrap; to infold; to cover by winding around or folding; enwrap.
3379,fåma,Laud; praise highly; extol.
3380,fama',Make; act like--imperative form.
3381,fama'ayan,Ricefield.
3382,fama'chenchon,To build a nest.
3383,fama'gåsiyan,"Wash basin; sink; lavatory. Literally, a place for washing."
3384,famagiyan,Field rich with game.
3385,famagu'on,Children; kids; infants; babies. Plural of påtgon.
3386,famahayan,Ricefield; rice paddy.
3387,famai'che'cho',Work hard; struggle; strive.
3388,famakiyan,Rifle range; place of shooting.
3389,famåktiyan,A place where one puts the container for catching water or sap from tree.
3390,famålao'an,Females; women; ladies; girls. Plural of pålao'an.
3391,fåmao,Admirable; praiseable; laudable; well known; famous.
3392,famåstuyan,Pasture land; meadow.
3393,famatkilu,Be silent; be quiet; hush; shut up. (Command form).
3394,famfe',Pick fruit; break fruit off a tree; pull tooth.
3395,famhåluman,Entrance; passage; inlet. Place of entering.
3396,famikayan,Cutting board; chopping block.
3397,fåmilia,Family; tribe; clan; folk; category of plants or animals.
3398,famokkat,Walk (command).
3399,fåmosu,Famous.
3400,fåmta',"Propagated; be produced by generation, or by seeds, cutting, etc."
3401,fåmta',"Become popular, famous."
3402,fan,Please; polite particle.
3403,fan-,Imperative marker prefix.
3404,fan-,Future indefinite object marker; plural subject marker.
3405,fåna',Face; to face; withstand; stand up to look at someone sharply in the face.
3406,fanachu'an,Quarry. Place of stone.
3407,fanaitai,Say prayers; pray; read.
3408,fanalå'an,"noun. 1) clothes line; drying rack; place to dry something. 2) meat dryer, referring to the custom "
3409,fanånklayan,Anchorage; anchoring grounds. Place of anchoring.
3410,fanåpu'an,Footstool. Place of leaning.
3411,fanatan,Sight.
3412,fanatukan,Hiding place; hide out; bomb shelter. Place of hiding (living things).
3413,fanbinåduyan,Field rich with deer. Place of deer.
3414,fandanggeru,Place for holding a fandanggo.
3415,fandanggo,Wedding celebration; nuptial celebration; nuptial festivities.
3416,fandeskånsayan,Haven. Place of resting.
3417,fånela,T-shirt.
3418,fanestilayan,Distillery. Place of distilling.
3419,fanetnon,Unite; join.
3420,fanfå'iyan,Rice field. Place of the growing rice.
3421,fanfå'pusan,Passageway. Place for departing.
3422,fanfachi'an,Wallow; mud puddle. Place of mud…
3423,fangacha'an,"Place to husk coconuts; device used in husking coconuts, usually a sharp pointed stick placed on end in the ground."
3424,fangagao despensasion,Apologize; beg pardon; ask forgiveness.
3425,fangahatan,Good hunting grounds.
3426,fangåmutiyan,Potato field. Place of kåmuti (sweet potato).
3427,fanggacha'an,Footrest; stepping stone; something to step on. Place of stepping.
3428,fanggan,Pick fruit; pluck a fruit from tree or vine.
3429,fanggånna,Triumph; victory; conquest.
3430,fanggiminan,Drinking place.
3431,fanggoddiyan,A place to tie things; a hitching post; dock.
3432,fangguålu'an,Field for planting trees or vegetables.
3433,fanhåle',Take root.
3434,fanhålluman,A retreat. A place for thinking.
3435,fanhasso,Think; conceive; imagine; fancy; realize; envision.
3436,fanhusgayan,Court of justice; court house. Place of judging.
3437,fånigi,To distinguish ones self.
3438,fånihen tåsi,Type of fish--family desyatidae. Manta ray; sting ray; leopard ray.
3439,fånihen toyu,Bat--insect eating.
3440,fånihi,Bat (mammal); fruit bat.
3441,fanlåtu'an,Slippery. Place of slipperiness.
